,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
127,Fallout 4,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,6.6,8.48,2015.0
128,Mario Kart 8,WiiU,Nintendo,Nintendo,8.8,8.9,8.45,2014.0
129,Tekken 3,PS,Namco,Namco,9.6,6.6000000000000005,8.3,1998.0
130,FIFA 16,PS4,EA Sports,EA Canada,8.5,4.4,8.22,2015.0
131,The Last of Us,PS3,Sony Computer Entertainment America,Naughty Dog,9.5,7.233333333333333,8.15,2013.0
132,GoldenEye 007,N64,Nintendo,Rare Ltd.,9.8,8.766666666666667,8.09,1997.0
133,Star Wars Battlefront (2015),PS4,Electronic Arts,EA DICE,7.1,7.966666666666666,8.03,2015.0
134,FIFA 13,PS3,EA Sports,EA Canada,8.533333333333333,5.466666666666668,8.01,2012.0
135,NBA 2K20,PS4,2K Sports,Visual Concepts,7.8,1.2,8.0,2019.0
136,Halo 2,XB,Microsoft Game Studios,Bungie Studios,9.6,7.5,8.0,2004.0
137,The Sims 3,PC,Electronic Arts,EA Redwood Shores,8.5,6.966666666666666,7.96,2009.0
138,Grand Theft Auto: Liberty City Stories,PSP,Rockstar Games,Rockstar Leeds,8.8,8.966666666666667,7.72,2005.0
139,Pac-Man,2600,Atari,Atari,9.0,7.4,7.7,1982.0
140,God of War III,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,9.2,9.4,7.6,2010.0
141,Pokemon Platinum Version,DS,Nintendo,Game Freak,8.3,8.9,7.6,2009.0
142,The Legend of Zelda: Ocarina of Time,N64,Nintendo,Nintendo EAD,9.9,10.0,7.6,1998.0
143,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,Naughty Dog,8.6,6.666666666666667,7.58,1997.0
144,Call of Duty: Advanced Warfare,PS4,Activision,Sledgehammer Games,8.5,5.7,7.53,2014.0
145,Call of Duty: World at War,X360,Activision,Treyarch,8.5,7.8,7.5,2008.0
146,Super Mario Bros. 2,NES,Nintendo,Nintendo EAD,8.5,8.1,7.46,1988.0
147,Super Mario Galaxy 2,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.8,7.41,2010.0
148,Super Smash Bros. Melee,GC,Nintendo,HAL Laboratory,9.2,6.666666666666667,7.41,2001.0
149,Call of Duty: Black Ops 3,XOne,Activision,Treyarch,8.466666666666667,6.433333333333334,7.37,2015.0
150,Battlefield 3,X360,Electronic Arts,Dice,8.5,5.733333333333333,7.35,2011.0
151,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo,Level 5,7.066666666666667,8.799999999999999,7.29,2016.0
152,The Legend of Zelda: Twilight Princess,Wii,Nintendo,Nintendo EAD,9.5,9.6,7.26,2006.0
153,Battlefield 1,PS4,Electronic Arts,EA DICE,9.1,7.9,7.26,2016.0
154,Battlefield 3,PS3,Electronic Arts,Dice,8.5,6.8999999999999995,7.21,2011.0
155,Need for Speed Underground,PS2,Electronic Arts,EA Black Box,8.6,5.866666666666667,7.2,2003.0
156,The Binding of Isaac,PC,Edmund McMillen,Edmund McMillen,8.3,8.4,7.17,2011.0
157,FIFA 20,PS4,Electronic Arts,EA Sports,7.9,1.1,7.15,2019.0
158,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,Naughty Dog,9.3,6.666666666666667,7.13,1998.0
159,Pokemon Emerald Version,GBA,Nintendo,Game Freak,7.7,8.700000000000001,7.06,2005.0
160,Guild Wars 2,PC,NCSoft,ArenaNet,9.0,8.1,7.0,2012.0
161,Need for Speed Underground 2,PS2,Electronic Arts,EA Black Box,8.3,5.866666666666667,6.9,2004.0
162,Just Dance 4,Wii,Ubisoft,Ubisoft,6.1000000000000005,7.366666666666667,6.89,2012.0
163,Mario Kart: Double Dash!!,GC,Nintendo,Nintendo EAD,8.5,8.8,6.88,2003.0
164,Medal of Honor: Frontline,PS2,Electronic Arts,EA Los Angeles,9.0,6.366666666666667,6.83,2002.0
165,Crash Bandicoot,PS,Sony Computer Entertainment,Naughty Dog,7.8,6.666666666666667,6.82,1996.0
166,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,Naughty Dog,9.5,9.6,6.74,2009.0
